183,Thyme,Spices,,100,
184,Tumeric,Spices,,100,
185,Cumin,Spices,,100,
186,Masala,Spices,,100,
187,Corn (Maizena),Flour,500,,
188,"Flour, Cake",Flour,1000,,
189,"Flour, Self-raising",Flour,500,,
190,"Flour, Bread, White",Flour,2500,,
191,"Flour, Bread, Brown",Flour,2500,,
192,"Flour, Whole Wheat",Flour,2500,,
193,Digestive Bran,Flour,350,,
194,Linseed,Seeds,250,,
195,Sesame Seed,Seeds,100,,
196,Apple,Canned Fruit,385,,
197,"Cherry, Red / Black",Canned Fruit,425,,
198,Fruit Salad or Fruit Cocktail,Canned Fruit,825,,
199,Grape Fruit,Canned Fruit,410,,
200,"Guavas, Halves",Canned Fruit,825,,
201,"Peaches, Halves",Canned Fruit,825,,
202,"Pears, Halves",Canned Fruit,410,,
203,"Pineapples, Rings",Canned Fruit,825,,
204,Apple Rings,Dried Fruit,125,,
205,Currants,Dried Fruit,250,,
206,Dates (For Baking Only),Dried Fruit,250,,
207,Fruit Bars Assorted,Dried Fruit,250,,
208,Peaches,Dried Fruit,250,,
209,Pears,Dried Fruit,250,,
210,Prunes,Dried Fruit,250,,
211,Raisins,Dried Fruit,500,,
212,Sultanas,Dried Fruit,250,,
213,"Cashew, Salted",Nuts,500,,
214,"Nuts, Mixed",Nuts,500,,
215,"Peanuts, Salted",Nuts,450,,
216,Peanuts And Raisins,Nuts,450,,
217,Pecans,Nuts,100,,
218,"Beef, Corned, Pure, Bullbrand / Similar",Meat (Tinned),300,,
219,Chicken And Rice (Breyani / equivalent) ,Meat (Tinned),380,,
220,GAMMON Specenham Or Similar,Meat (Tinned),450,,
221,Meatballs And Spaghetti,Meat (Tinned),410,,
222,"Beef, Mince, Vegetable or  Vegetable Curry (Breyani or equivalent)",Meat (Tinned),380,,
223,Pork Corned Meat,Meat (Tinned),300,,
224,"Vienna, Sausages (Enterprise/Similar)",Meat (Tinned),390,,
225,Caramel Treat,Pudding,360,,
226,Christmas Pudding,Pudding,450,,
227,"Custard, Powder",Pudding,500,,
228,Instant Assorted Pudding,Pudding,90,,
229,Jellies Assorted,Pudding,80,,
230,Sago,Pudding,500,,
231,Selfsaucing Hot Sponge Puddings / Chocolate Saucy Pudding,Pudding,510,,
232,Hundreds And Thousands,Pudding,75,,
233,Vermicelli,Pudding,50,,
234,Muffin Mix (All Variety) Golden Cloud,Pudding,500,,
235,Chicken Tins - Heinz,Soup,400,,
236,"Mushroom, Tins - Pot O' Gold",Soup,410,,
237,Royco Brown Onion,Soup,45,,
238,Royco Asst. Pkts,Soup,50,,
239,Royco Cup Of Soup Pkts,Soup,60,,
240,Tomato Tins - Heinz,Soup,400,,
241,Vegetables Tins (Heinz),Soup,400,,
242,"Apple, Jelly",Jam,155,,
243,"Apricot, Smooth",Jam,900,,
244,Fig,Jam,450,,
245,Honey,Jam,500,,
246,Marmalade,Jam,450,,
247,Peach,Jam,450,,
248,Strawberry,Jam,450,,
249,"SYRUP, GOLDEN (Illovo Plastic Bottles)",Jam,500,,
250,"Sugar, Brown",Sugar,2500,,
251,"Sugar, Castor",Sugar,500,,
252,"Sugar, White",Sugar,2500,,
253,"Sugar, Icing",Sugar,500,,
254,"Sugar, Brown",Sugar,500,,
255,Canned Vegetables,Vegetables (Canned),430,,
256,"Beans, Green (All Gold / Koo)",Vegetables (Canned),410,,
257,"Beans, Harricot / Butter (All Gold / Koo)",Vegetables (Canned),410,,
258,"Beans, In Tomato (Baked) (All Gold / Koo)",Vegetables (Canned),410,,
259,Beetroot (All Gold / Koo),Vegetables (Canned),405,,
260,Carrots In Curry / Curried Carrot Salad,Vegetables (Canned),405,,
261,"Corn, Kernel, Whole (All Gold / Koo)",Vegetables (Canned),410,,
262,"Corn, Sweet, Cream (All Gold / Koo)",Vegetables (Canned),410,,
263,"Mushrooms, Creamed Denny / Cheese Sauce",Vegetables (Canned),300,,
264,"Mushrooms, In Brine, Pieces or Sliced Denny",Vegetables (Canned),400,,
265,"Mushrooms, Whole / Button Denny",Vegetables (Canned),285,,
266,Peas (All Gold / Koo),Vegetables (Canned),410,,
267,"Potatoes, Whole",Vegetables (Canned),410,,
268,"Tomato, Paste (All Gold / Koo)",Vegetables (Canned),100,,
269,"Tomato, Puree (All Gold / Koo)",Vegetables (Canned),410,,
270,"Tomato, Whole (All Gold / Koo)",Vegetables (Canned),400,,
271,"Vegetables, Mixed (All Gold / Koo)",Vegetables (Canned),410,,
272,Chick Peas,Vegetables (Canned),400,,
273,Tomato & Onions (Mix),Vegetables (Canned),410,,
274,Onions,Dehydrated Foods,100,,
275,Potato Powder (Smash),Dehydrated Foods,104,,
276,"Brown, Loaves (Similar To Blue Ribbon)",Bread,700,,
277,"White, Loaves (Similar To Blue Ribbon)",Bread,700,,
278,"Whole-wheat, Brown, Loaves (Similar To Blue Ribbon)",Bread,700,,
